Location,15-19,20-24,25-29,30-34,35-39,40-44,45-49
Eastern and South-Eastern Asia,20.371,107.143,115.469,75.816,34.999,11.36,1.652
Economic Community of Central African States (ECCAS),119.545,234.566,252.615,215.631,167.085,77.569,18.188
Economic Community of West African States (ECOWAS),111.507,218.167,238.14,209.423,157.916,74.92,28.033
Economic Cooperation Organization (ECO),39.348,158.687,176.555,132.982,64.322,17.625,4.703
Ecuador,79.261,127.246,118.311,85.331,50.728,22.106,5.017
Egypt,53.819,204.702,192.208,128.778,66.313,16.337,3.843
El Salvador,69.459,112.561,102.868,74.541,37.91,11.927,1.314
Equatorial Guinea,155.622,211.021,201.421,157.279,108.913,57.485,19.119
Eritrea,52.553,184.922,210.736,191.171,119.447,50.101,11.07
Estonia,7.698,45.141,99.491,95.97,54.513,14.09,0.657
Eswatini,76.695,171.234,142.171,117.202,68.489,22.711,6.638
Ethiopia,66.727,192.517,211.206,180.477,123.28,60.268,25.525
Eurasian Economic Community (Eurasec),24.895,131.619,133.563,91.2,43.6,9.259,0.471
Europe (48),12.665,52.884,94.966,96.089,52.684,11.878,0.762
Europe and Northern America,15.029,58.878,96.172,97.612,52.406,11.657,0.756
European Community (EC: 12),7.573,37.445,85.293,108.019,64.971,15.19,1.021
European Free Trade Agreement (EFTA),3.846,34.361,88.107,114.711,65.248,12.891,0.82
European Union (EU: 15),7.483,37.793,86.101,108.357,64.659,15.027,1.004
European Union (EU: 28),9.797,40.943,88.092,103.789,58.969,13.462,0.884
Fiji,49.353,164.16,146.788,99.749,64.729,27.745,4.956
Finland,5.813,41.49,91.729,103.296,52.596,10.495,0.581
France,4.727,41.036,109.034,127.334,68.969,18.152,1.208
France (and dependencies),6.502,44.033,109.962,127.188,68.99,18.271,1.24
French Guiana,58.363,137.874,172.053,169.995,94.9,35.657,3.158
French Polynesia,38.688,91.767,98.631,86.619,54.834,18.057,1.404
Gabon,96.227,155.536,191.743,164.688,124.969,60.445,6.392
Gambia,78.185,200.26,248.634,223.245,186.799,82.71,30.167
Georgia,46.408,125.579,121.006,74.21,33.99,9.763,1.344
Germany,8.095,36.424,82.501,109.77,66.624,13.24,0.546
Ghana,66.611,148.016,191.393,187.345,122.337,45.347,17.511
Greater Arab Free Trade Area (GAFTA),43.699,142.021,169.434,137.878,93.654,37.148,8.582
Greece,7.223,26.382,68.742,91.978,52.266,11.868,2.021
Grenada,29.177,92.122,135.948,97.43,47.221,12.12,0.622
Group of 77 (G77),46.8,148.49,150.879,101.284,53.436,19.807,4.726
Group of Eight (G8),14.255,58.54,96.596,100.513,54.766,12.156,0.711
Group of Seven (G7),13.251,54.028,92.343,103.549,57.341,12.738,0.754
Group of Twenty (G20) - member states,19.894,117.89,124.789,80.283,36.072,10.763,1.823
Guadeloupe,15.467,73.356,121.65,134.005,70.045,17.316,2.161
Guam,31.713,110.009,127.807,113.683,64.516,14.745,1.387
Guatemala,70.93,140.925,136.27,111.949,75.684,35.441,8.581
Guinea,135.294,190.013,208.636,187.531,130.469,68.415,27.322
Guinea-Bissau,104.823,177.892,203.061,184.206,140.636,71.175,20.207
Gulf Cooperation Council (GCC),7.932,57.146,132.075,105.491,82.332,36.878,14.53
Guyana,74.382,153.313,117.508,87.537,49.456,9.891,2.473
Haiti,51.676,119.272,142.791,126.713,93.164,50.575,7.809
High-income countries,15.031,52.006,91.42,103.086,58.614,13.541,1.206
Honduras,72.912,136.387,112.751,87.347,57.034,26.428,4.581
Hungary,23.979,45.692,79.424,91.801,46.527,10.409,0.388
Iceland,6.269,50.813,110.833,106.723,63.475,14.45,1.437
India,13.177,157.576,157.239,81.149,26.43,9.378,3.091
Indonesia,47.374,120.42,122.875,96.042,55.172,17.114,4.903
Iran (Islamic Republic of),40.635,89.302,110.983,108.12,61.249,15.501,4.21
Iraq,71.733,173.999,196.319,148.143,99.422,41.887,4.897
Ireland,7.515,38.998,76.232,125.219,95.592,22.853,1.771
Israel,9.607,103.097,168.121,182.275,110.957,31.468,3.275
Italy,5.24,26.387,64.769,90.618,61.427,16.163,1.396
Jamaica,52.757,100.847,106.573,70.979,53.278,12.066,1.7
Japan,3.78,27.595,77.052,97.874,55.755,11.61,0.274
Jordan,25.877,108.89,160.644,142.036,88.98,26.159,1.874
Kazakhstan,29.75,161.004,160.252,116.75,67.249,16.754,1.001
Kenya,75.078,176.537,179.768,129.592,85.85,34.78,22.395
Kiribati,16.177,99.491,209.568,232.353,121.703,31.694,5.734
Kuwait,8.194,77.05,136.737,106.164,66.718,22.827,2.31
Kyrgyzstan,32.763,189.499,167.537,119.652,70.867,18.782,0.9
LLDC: Africa,101.314,215.543,225.83,190.214,133.713,65.979,22.993
LLDC: Asia,51.897,185.421,161.667,101.041,52.319,17.125,3.631
LLDC: Europe,19.998,66.578,86.211,60.029,27.319,4.498,0.268
LLDC: Latin America,67.011,126.488,125.562,105.764,69.892,26.096,5.294
Land-locked Countries,81.73,191.098,188.691,146.738,92.792,38.854,11.47
Land-locked Countries (Others),13.868,49.212,92.143,97.196,48.575,9.412,0.499
Land-locked Developing Countries (LLDC),85.688,201.642,198.263,152.862,99.647,44.54,13.951
Lao People's Democratic Republic,65.41,162.06,150.055,91.643,49.983,16.826,4.023
Latin American Integration Association (ALADI),62.228,101.969,99.364,76.108,43.684,12.512,1.738
Latin American and Caribbean Group (GRULAC),63.231,105.323,101.943,78.136,45.233,13.647,1.988
Latvia,16.171,63.772,104.194,94.126,52.037,12.34,0.7
"League of Arab States (LAS, informal name: Arab League)",46.683,146.983,174.576,141.317,96.078,38.69,9.577
Least developed countries,94.31,192.935,195.49,152.41,103.983,47.596,13.906
Least developed: Africa,107.767,219.095,235.725,197.402,143.752,68.911,20.522
Least developed: Asia,66.926,145.066,127.45,82.688,46.189,17.901,5.47
Least developed: Latin America and the Caribbean,51.676,119.272,142.791,126.713,93.164,50.575,7.809
Least developed: Oceania,63.668,200.847,209.456,178.96,120.309,46.516,10.9
Lebanon,14.5,72.695,135.315,122.888,53.821,13.197,5.584
Lesotho,92.726,166.962,138.845,113.502,75.102,41.69,3.993
Less developed regions,46.241,146.029,148.932,100.737,53.038,19.062,4.484
"Less developed regions, excluding China",53.393,152.796,158.199,112.196,61.696,22.759,6.145
"Less developed regions, excluding least developed countries",33.925,135.481,140.125,92.027,44.968,15.117,3.361
Less developed: Africa,94.967,200.45,213.302,177.078,126.803,57.387,17.688
Less developed: Asia,24.833,134.31,137.79,84.76,36.689,12.036,2.56
Less developed: Latin America and the Caribbean,63.02,105.185,101.864,78.103,45.175,13.61,1.975
Less developed: Oceania,50.807,165.198,168.423,143.695,99.908,44.155,19.189
Liberia,135.962,193.434,181.289,171.44,117.658,57.332,12.885
Libya,5.769,42.557,103.762,130.087,110.094,48.281,9.45
Lithuania,10.854,45.098,115.264,106.798,46.658,8.981,0.307
Low-income countries,97.035,207.916,220.679,178.812,123.762,58.43,17.29
Lower-middle-income countries,41.748,157.639,160.817,105.066,52.089,18.993,5.756
Luxembourg,4.727,29.602,70.171,104.996,64.674,14.716,1.114
Madagascar,109.59,206.148,211.95,149.532,92.458,42.244,9.778
Malawi,132.671,209.712,186.024,154.158,104.869,47.862,14.704
Malaysia,13.414,45.44,118.632,128.523,74.841,19.573,1.677
Maldives,7.81,92.18,121.733,97.93,46.27,9.494,0.583
Mali,169.127,243.759,271.022,223.165,155.602,82.414,39.211
Malta,12.879,33.485,82.425,103.032,48.94,9.015,0.224
Martinique,10.566,47.225,116.823,125.058,63.657,12.333,0.338
Mauritania,71.049,168.435,203.62,207.893,165.362,83.099,17.542
Mauritius,25.735,61.472,86.404,67.332,29.609,6.676,0.472
Mayotte,55.827,166.265,170.724,162.507,120.371,56.655,13.431
Melanesia,53.113,171.099,169.262,143.26,101.405,46.469,21.448
Mexico,60.365,118.714,120.658,78.037,40.343,8.299,1.584
Micronesia,27.656,108.92,166.436,160.57,83.31,21.758,2.95
Micronesia (Fed. States of),13.924,85.505,179.871,199.344,104.462,27.232,4.922
Middle Africa,129.537,241.451,256.463,216.903,167.734,76.239,18.07
Middle-income countries,37.157,137.581,140.216,91.14,44.673,15.139,3.367
Mongolia,30.993,151.369,161.758,130.126,83.114,21.823,1.277
Montenegro,9.313,59.188,119.527,100.853,49.177,11.099,0.963
More developed regions,14.027,56.091,94.65,98.224,53.198,11.762,0.714
More developed: Asia,3.78,27.595,77.052,97.874,55.755,11.61,0.274
More developed: Europe,12.665,52.884,94.966,96.089,52.684,11.878,0.762
More developed: Northern America,18.856,68.751,98.429,100.834,51.783,11.143,0.741
More developed: Oceania,13.006,49.267,94.642,121.299,72.994,16.505,1.164
Morocco,31.034,94.424,118.362,111.915,80.034,38.222,10.009
Mozambique,148.626,221.669,208.985,176.954,128.057,70.502,22.367
Myanmar,28.509,94.944,113.276,98.586,64.916,27.546,6.223
Namibia,63.627,163.169,163.491,141.844,103.893,41.285,5.751
Nepal,65.121,151.241,100.706,44.169,16.268,7.257,2.038
Netherlands,3.788,32.185,102.15,129.769,54.095,9.615,0.398
Netherlands (and dependencies),4.242,33.21,102.335,129.006,53.855,9.631,0.401
New Caledonia,14.83,83.029,107.744,101.59,65.775,19.318,1.714
New EU member states (joined since 2004),19.43,53.052,95.131,87.859,39.438,7.915,0.397
New Zealand,19.27,63.478,98.48,114.964,68.186,14.79,0.832
New Zealand (and dependencies),19.373,63.716,98.561,114.878,68.176,14.827,0.828
Nicaragua,84.99,129.688,118.266,83.117,46.101,17.1,4.738
Niger,186.538,307.273,298.003,263.127,200.868,88.404,45.787
Nigeria,107.33,226.045,245.058,216.794,172.689,83.517,31.927
No income group available,35.756,98.792,132.26,126.98,74.404,25.069,3.789
Non-Self-Governing Territories,25.419,86.086,113.642,102.303,68.558,24.609,4.755
North American Free Trade Agreement (NAFTA),32.317,84.077,104.936,94.319,48.534,10.349,0.96
North Atlantic Treaty Organization (NATO),15.755,58.987,96.764,102.136,55.26,12.16,0.876
North Macedonia,15.723,56.77,99.023,86.759,36.25,5.175,0.3
Northern Africa,43.274,151.262,174.234,142.839,95.28,36.062,7.467
Northern Africa and Western Asia,40.522,133.923,161.265,129.823,84.003,30.449,6.687
Northern Europe,10.842,49.496,97.433,111.969,64.703,13.931,0.895
Norway,5.141,42.504,103.79,116.592,56.616,10.752,0.605
Oceania,27.89,89.794,117.114,127.598,80.343,23.457,5.206
Oceania (excluding Australia and New Zealand),50.807,165.198,168.423,143.695,99.908,44.155,19.189
Oman,13.056,99.995,153.737,149.483,113.555,49.089,7.085
Organisation for Economic Co-operation and Development (OECD),20.385,62.208,96.188,100.819,55.29,11.814,0.872
Organization for Security and Co-operation in Europe (OSCE),17.746,73.932,104.639,97.644,51.576,11.301,0.786
Organization of American States (OAS),49.867,93.777,100.793,85.597,47.406,12.785,1.531
Organization of Petroleum Exporting countries (OPEC),82.78,165.532,181.4,155.184,112.607,49.501,15.076
Organization of the Islamic Conference (OIC),68.223,163.895,174.642,136.694,84.197,32.12,9.454
Pakistan,38.802,179.953,219.594,169.026,73.493,21.961,7.171
Panama,81.828,137.722,125.062,90.715,44.444,12.409,1.58
Papua New Guinea,52.655,169.528,169.003,146.483,105.002,49.512,25.477
Paraguay,70.504,119.362,120.574,93.913,57.988,22.479,4.28
Peru,56.882,99.966,109.214,95.681,62.665,25.356,4.236
Philippines,54.154,123.83,117.813,109.64,71.677,31.574,7.312
Poland,10.538,48.684,95.892,84.332,36.953,7.329,0.312
Polynesia,29.294,109.58,155.803,137.625,88.588,27.722,3.116
Portugal,8.38,32.236,66.819,87.64,50.907,11.031,0.587
Puerto Rico,29.098,76.583,65.572,46.204,21.826,4.522,0.195
Qatar,9.922,95.868,91.616,91.265,62.392,22.355,2.682
Republic of Korea,1.379,11.58,45.778,105.492,52.911,4.651,0.209
Republic of Moldova,22.415,71.404,80.862,48.878,23.078,4.152,0.251
Romania,36.211,71.452,98.934,77.595,32.655,6.79,0.323
Russian Federation,20.699,85.486,115.71,88.435,43.867,9.426,0.477
Rwanda,39.114,166.868,212.87,186.064,135.791,67.567,11.726
Réunion,46.653,100.921,126.758,110.957,53.756,15.055,0.6
"SIDS Atlantic, and Indian Ocean, Mediterranean and South China Sea (AIMS)",45.802,101.832,125.249,115.582,64.811,20.517,4.404
SIDS Caribbean,60.12,114.539,112.774,84.649,49.163,16.923,2.163
SIDS Pacific,50.842,165.29,168.461,143.735,99.985,44.203,19.221
Saint Lucia,40.536,68.347,74.852,59.017,33.65,12.161,0.277
Saint Vincent and the Grenadines,49.02,101.23,112.311,74.338,35.052,8.117,0.312
Samoa,23.886,137.037,229.246,204.447,139.676,41.995,4.293
Sao Tome and Principe,94.61,217.284,200.025,162.093,122.754,66.544,6.69
Saudi Arabia,7.324,49.082,147.013,109.837,91.397,42.933,20.414
Senegal,72.725,180.202,220.713,200.001,152.275,82.081,22.003
Serbia,14.706,52.305,90.734,86.199,40.037,7.742,0.517
Seychelles,62.05,119.962,145.271,98.721,52.888,11.976,1.132
Shanghai Cooperation Organization (SCO),14.19,142.772,142.818,79.148,29.003,9.894,1.956
Sierra Leone,112.828,198.456,203.458,160.648,114.167,49.418,24.825
Singapore,3.53,19.465,70.896,93.431,46.063,8.101,0.314
Slovakia,25.684,49.477,86.786,89.731,40.854,7.571,0.297
Slovenia,3.776,38.24,110.016,111.04,47.424,9.056,0.448
Small Island Developing States (SIDS),55.389,121.164,124.857,101.139,61.008,21.851,4.916
Solomon Islands,78.003,227.001,213.997,179.999,128.003,48.998,10.999
Somalia,100.085,262.668,327.527,241.921,165.177,82.436,44.186
South Africa,67.908,120.309,126.512,88.716,54.593,19.707,5.035
South America,62.86,96.653,92.987,75.94,45.069,13.999,1.84
South Asian Association for Regional Cooperation (SAARC),25.549,158.756,159.82,89.665,32.572,10.91,3.56
South Sudan,62.04,205.709,282.193,198.548,105.914,60.098,32.678
South-Eastern Asia,43.021,111.231,119.948,95.736,53.049,17.517,4.012
Southern Africa,68.044,125.878,130.395,92.475,57.079,21.07,4.98
Southern African Development Community (SADC),115.88,209.975,211.277,168.734,122.935,55.255,12.111
Southern Asia,26.041,156.107,157.414,90.725,34.184,11.143,3.591
Southern Common Market (MERCOSUR),62.928,96.806,91.04,75.356,43.777,12.567,1.368
Southern Europe,7.813,32.119,68.287,89.885,59.046,14.669,1.203
Spain,7.725,25.586,54.937,90.275,68.745,17.476,1.256
Sri Lanka,20.926,87.777,152.293,120.603,49.107,10.49,0.844
State of Palestine,52.766,185.079,192.826,159.192,101.732,39.451,2.494
Sub-Saharan Africa,104.442,210.755,222.764,186.317,135.909,63.844,20.965
Sudan,63.993,168.901,227.945,200.857,148.661,61.199,15.344
Suriname,61.655,123.311,129.136,100.979,52.431,17.477,0.971
Sweden,5.076,43.928,107.284,130.744,67.795,14.285,0.888
Switzerland,2.763,27.937,77.057,113.897,70.303,14.122,0.921
Syrian Arab Republic,38.592,122.321,152.978,132.731,84.762,31.044,5.532
Tajikistan,57.076,301.257,207.596,109.968,41.057,4.546,0.0
Thailand,44.908,75.87,80.372,67.482,29.894,7.366,1.028
Timor-Leste,33.785,165.227,223.169,196.159,124.446,55.902,21.312
Togo,89.091,198.557,227.184,167.146,119.476,56.226,12.62
Tonga,14.662,99.788,201.55,217.307,131.172,41.412,9.369
Trinidad and Tobago,30.09,89.194,104.506,75.887,35.747,9.262,1.294
Tunisia,7.841,58.428,132.556,124.869,90.126,23.918,2.262
Turkey,26.559,94.432,130.078,102.59,51.799,9.086,1.456
Turkmenistan,24.418,161.564,188.801,124.898,47.956,8.695,0.668
UN-ECE: member countries,17.637,73.902,104.851,98.06,51.858,11.396,0.798
UNFPA Regions,46.737,147.575,149.631,100.222,52.404,18.953,4.447
UNFPA: Arab States (AS),49.837,156.105,179.99,146.605,97.958,38.608,8.691
UNFPA: Asia and the Pacific (AP),24.207,136.48,137.966,82.034,33.742,11.462,2.509
UNFPA: East and Southern Africa (ESA),98.582,204.532,211.937,170.82,121.211,56.726,16.299
UNFPA: Eastern Europe and Central Asia (EECA),27.831,127.912,132.284,87.829,41.077,7.883,0.805
UNFPA: Latin America and the Caribbean (LAC),63.205,105.302,101.944,78.142,45.231,13.644,1.986
UNFPA: West and Central Africa (WCA),112.915,218.178,235.348,207.155,156.005,73.36,26.79
