measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Spain,Both,35 to 39,Diabetes mellitus,Percent,2019,0.04088515142136213,0.049228349701876006,0.03388998786702992
Prevalence,Spain,Both,40 to 44,Diabetes mellitus,Percent,2019,0.05407642350043621,0.0638332154588051,0.04487610892631001
Prevalence,Spain,Both,45 to 49,Diabetes mellitus,Percent,2019,0.07650901991749905,0.08927051630835657,0.06545372930041869
Prevalence,Spain,Both,50 to 54,Diabetes mellitus,Percent,2019,0.10948057630907525,0.12903116863655495,0.093228856437821
Prevalence,Spain,Both,55 to 59,Diabetes mellitus,Percent,2019,0.15560877759691058,0.17949402199416825,0.1365193957063333
Prevalence,Spain,Both,60 to 64,Diabetes mellitus,Percent,2019,0.2101531292539705,0.24105389176172445,0.18483459133302216
Prevalence,Spain,Both,65 to 69,Diabetes mellitus,Percent,2019,0.26015264577248254,0.29295207159721653,0.2316357763500374
Prevalence,Spain,Both,70 to 74,Diabetes mellitus,Percent,2019,0.29963955605884657,0.33084092016389205,0.26900393744600204
Prevalence,Spain,Both,75 to 79,Diabetes mellitus,Percent,2019,0.31681841592060167,0.3507923877608629,0.2848200339400467
Prevalence,Spain,Both,80 to 84,Diabetes mellitus,Percent,2019,0.31246428952320465,0.34534812291308453,0.2822825319350507
Prevalence,Spain,Both,85 to 89,Diabetes mellitus,Percent,2019,0.29810687732554014,0.32996473523138214,0.2685269898079294
Prevalence,Spain,Both,90 to 94,Diabetes mellitus,Percent,2019,0.2752757689845662,0.3066030031149624,0.24569285100370786
Prevalence,Germany,Both,1 to 4,Diabetes mellitus,Percent,2019,0.0005946075256504757,0.0009363119844018416,0.00033385590440392917
Prevalence,Germany,Both,5 to 9,Diabetes mellitus,Percent,2019,0.0021113991917537027,0.003253330553041378,0.0010899204797583494
Prevalence,Germany,Both,10 to 14,Diabetes mellitus,Percent,2019,0.0036569286239661173,0.005017644395046642,0.0023770861561898744
Prevalence,Germany,Both,15 to 19,Diabetes mellitus,Percent,2019,0.007211877520316004,0.009305736431661563,0.005641665442723344
Prevalence,Germany,Both,20 to 24,Diabetes mellitus,Percent,2019,0.016335689196204713,0.02059206973595551,0.012954575940174639
Prevalence,Germany,Both,25 to 29,Diabetes mellitus,Percent,2019,0.026665086202876775,0.03335997216253827,0.021230976337154095
Prevalence,Germany,Both,30 to 34,Diabetes mellitus,Percent,2019,0.03676845957479828,0.04456114690256099,0.03034266693969572
Prevalence,Germany,Both,35 to 39,Diabetes mellitus,Percent,2019,0.04903557017083105,0.057810382200092485,0.04139248767687302
Prevalence,Germany,Both,40 to 44,Diabetes mellitus,Percent,2019,0.0658378562079663,0.07695823066240469,0.05564783997189244
Prevalence,Germany,Both,45 to 49,Diabetes mellitus,Percent,2019,0.09297170765524808,0.10562726796744268,0.08129535014126746
Prevalence,Germany,Both,50 to 54,Diabetes mellitus,Percent,2019,0.13150953925377876,0.1480812635661152,0.11574324742786213
Prevalence,Germany,Both,55 to 59,Diabetes mellitus,Percent,2019,0.18234539787670076,0.20354866344562522,0.162330717536504
Prevalence,Germany,Both,60 to 64,Diabetes mellitus,Percent,2019,0.24091688588469765,0.27019467373912887,0.2115917474301196
Prevalence,Germany,Both,65 to 69,Diabetes mellitus,Percent,2019,0.29562329633319323,0.326980332291496,0.26195659661759463
Prevalence,Germany,Both,70 to 74,Diabetes mellitus,Percent,2019,0.3406740651339623,0.375731957415332,0.30296936717985
Prevalence,Germany,Both,75 to 79,Diabetes mellitus,Percent,2019,0.36152170271082257,0.3979845645473929,0.32261311699418216
Prevalence,Germany,Both,80 to 84,Diabetes mellitus,Percent,2019,0.3595679797580079,0.3945762444085224,0.32227139010120714
Prevalence,Germany,Both,85 to 89,Diabetes mellitus,Percent,2019,0.34585790934475813,0.3804930499959972,0.30960162109398603
Prevalence,Germany,Both,90 to 94,Diabetes mellitus,Percent,2019,0.3230853920924748,0.3582269152845534,0.28834329598252534
Prevalence,Italy,Both,1 to 4,Diabetes mellitus,Percent,2019,0.0006461571429150228,0.0009818875155612086,0.0003821477347896892
Prevalence,Italy,Both,5 to 9,Diabetes mellitus,Percent,2019,0.0022113810204896864,0.0032383323818876153,0.0011943009209128205
Prevalence,Italy,Both,10 to 14,Diabetes mellitus,Percent,2019,0.003833137929727004,0.005211670964777698,0.002541652567987213
Prevalence,Italy,Both,15 to 19,Diabetes mellitus,Percent,2019,0.0058215354879302215,0.007216536890013881,0.004632046529719419
Prevalence,Italy,Both,20 to 24,Diabetes mellitus,Percent,2019,0.010770805012997833,0.014319305964564832,0.008301296758158709
Prevalence,Italy,Both,25 to 29,Diabetes mellitus,Percent,2019,0.01809347678987324,0.023461050166141518,0.013522012058771793
Prevalence,Italy,Both,30 to 34,Diabetes mellitus,Percent,2019,0.026171471370096455,0.03356030746860257,0.020010855181946063
Prevalence,Italy,Both,35 to 39,Diabetes mellitus,Percent,2019,0.03605185488633606,0.04484299402546708,0.028526543343026418
Prevalence,Italy,Both,40 to 44,Diabetes mellitus,Percent,2019,0.04966019791468043,0.06043224634834321,0.0400811501836765
Prevalence,Italy,Both,45 to 49,Diabetes mellitus,Percent,2019,0.07295563890308068,0.08673475663192359,0.061160091467375936
Prevalence,Italy,Both,50 to 54,Diabetes mellitus,Percent,2019,0.10800650025115961,0.12745916627484796,0.09229076721489084
Prevalence,Italy,Both,55 to 59,Diabetes mellitus,Percent,2019,0.1575569541650864,0.17972827597974744,0.13672144739681052
Prevalence,Italy,Both,60 to 64,Diabetes mellitus,Percent,2019,0.2153777010548378,0.24357802226018627,0.18633146369431597
Prevalence,Italy,Both,65 to 69,Diabetes mellitus,Percent,2019,0.2634340865877488,0.2974254344605546,0.23122102052572935
Prevalence,Italy,Both,70 to 74,Diabetes mellitus,Percent,2019,0.2969779564880567,0.3287403843961226,0.2649803772744011
Prevalence,Italy,Both,75 to 79,Diabetes mellitus,Percent,2019,0.3086589111873215,0.3412277633265639,0.27648512239312917
Prevalence,Italy,Both,80 to 84,Diabetes mellitus,Percent,2019,0.303138548380737,0.33475341761776384,0.2706101746887748
Prevalence,Italy,Both,85 to 89,Diabetes mellitus,Percent,2019,0.28777103863990805,0.3187881574943934,0.25720555085573094
Prevalence,Italy,Both,90 to 94,Diabetes mellitus,Percent,2019,0.2615497326394274,0.2914512240849836,0.2314674074145238
